SampleID;Tissue;Factor;Condition;Treatment;Replicate;bamReads;Peaks;PeakCaller;PeakFormat;
MPIPSYKL_000637;;ATAC;low;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_7C_veh_S26.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_7C_veh_S26_peaks.narrowPeak.filt.gz;macs;narrow;7C
MPIPSYKL_002418;;ATAC;low;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_14D_veh_S33.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_14D_veh_S33_peaks.narrowPeak.filt.gz;macs;narrow;14D
MPIPSYKL_003787;;ATAC;high;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_15B_dex_S72.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_15B_dex_S72_peaks.narrowPeak.filt.gz;macs;narrow;15B
MPIPSYKL_001701;;ATAC;high;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_14B_veh_S60.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_14B_veh_S60_peaks.narrowPeak.filt.gz;macs;narrow;14B
MPIPSYKL_003231;;ATAC;high;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_18D_veh_S62.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_18D_veh_S62_peaks.narrowPeak.filt.gz;macs;narrow;18D
MPIPSYKL_004171;;ATAC;low;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_13D_dex_S74.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_13D_dex_S74_peaks.narrowPeak.filt.gz;macs;narrow;13D
MPIPSYKL_002604;;ATAC;low;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_2D_dex_S73.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_2D_dex_S73_peaks.narrowPeak.filt.gz;macs;narrow;2D
MPIPSYKL_004054;;ATAC;low;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_12A_dex_S63.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_12A_dex_S63_peaks.narrowPeak.filt.gz;macs;narrow;12A
MPIPSYKL_001263;;ATAC;high;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_7D_veh_S24.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_7D_veh_S24_peaks.narrowPeak.filt.gz;macs;narrow;7D
MPIPSYKL_001786;;ATAC;high;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_3A_veh_S38.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_3A_veh_S38_peaks.narrowPeak.filt.gz;macs;narrow;3A
MPIPSYKL_001946;;ATAC;high;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_17A_veh_S50.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_17A_veh_S50_peaks.narrowPeak.filt.gz;macs;narrow;17A
MPIPSYKL_001113;;ATAC;high;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_13C_dex_S19.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_13C_dex_S19_peaks.narrowPeak.filt.gz;macs;narrow;13C
MPIPSYKL_000972;;ATAC;low;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_9C_veh_S54.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_9C_veh_S54_peaks.narrowPeak.filt.gz;macs;narrow;9C
MPIPSYKL_004100;;ATAC;low;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_11A_dex_S94.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_11A_dex_S94_peaks.narrowPeak.filt.gz;macs;narrow;11A
MPIPSYKL_003331;;ATAC;low;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_9B_veh_S88.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_9B_veh_S88_peaks.narrowPeak.filt.gz;macs;narrow;9B
MPIPSYKL_003520;;ATAC;high;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_18B_veh_S16.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_18B_veh_S16_peaks.narrowPeak.filt.gz;macs;narrow;18B
MPIPSYKL_000988;;ATAC;high;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_10C_veh_S87.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_10C_veh_S87_peaks.narrowPeak.filt.gz;macs;narrow;10C
