"seqnames";"start";"end";"width";"strand";"Conc";"Conc_dex";"Conc_veh";"Fold";"p.value";"FDR";"MPIPSYKL_003787";"MPIPSYKL_004171";"MPIPSYKL_002604";"MPIPSYKL_004054";"MPIPSYKL_001113";"MPIPSYKL_004100";"MPIPSYKL_003331";"MPIPSYKL_003520";"MPIPSYKL_004215";"MPIPSYKL_001946";"MPIPSYKL_004251";"MPIPSYKL_002802";"MPIPSYKL_003162";"MPIPSYKL_002658";"MPIPSYKL_002613";"MPIPSYKL_003231";"MPIPSYKL_002533";"MPIPSYKL_002418";"MPIPSYKL_001109";"MPIPSYKL_001786";"MPIPSYKL_003934";"MPIPSYKL_004246";"MPIPSYKL_001547";"MPIPSYKL_000637";"MPIPSYKL_001386";"MPIPSYKL_002468";"MPIPSYKL_002088";"MPIPSYKL_000972";"MPIPSYKL_003785";"MPIPSYKL_001389";"MPIPSYKL_003155";"MPIPSYKL_000708";"MPIPSYKL_001886";"MPIPSYKL_003013";"MPIPSYKL_000988";"MPIPSYKL_003472";"MPIPSYKL_003911";"MPIPSYKL_001701";"MPIPSYKL_002383";"MPIPSYKL_001766";"MPIPSYKL_002852";"MPIPSYKL_001263";"MPIPSYKL_003353";"MPIPSYKL_001667";"MPIPSYKL_002319";"MPIPSYKL_001048";"MPIPSYKL_002095";"MPIPSYKL_000637.1";"MPIPSYKL_002418.1";"MPIPSYKL_001701.1";"MPIPSYKL_003231.1";"MPIPSYKL_001263.1";"MPIPSYKL_001786.1";"MPIPSYKL_001946.1";"MPIPSYKL_000972.1";"MPIPSYKL_003331.1";"MPIPSYKL_003520.1";"MPIPSYKL_000988.1";"MPIPSYKL_004171.1";"MPIPSYKL_001766.1";"MPIPSYKL_003353.1";"MPIPSYKL_002319.1";"MPIPSYKL_001109.1";"MPIPSYKL_004251.1";"MPIPSYKL_000708.1";"MPIPSYKL_002095.1";"MPIPSYKL_002468.1";"MPIPSYKL_003472.1";"MPIPSYKL_004054.1";"MPIPSYKL_002802.1";"MPIPSYKL_003934.1";"MPIPSYKL_002383.1";"MPIPSYKL_004215.1";"MPIPSYKL_001113.1";"MPIPSYKL_001667.1";"MPIPSYKL_003013.1";"MPIPSYKL_001048.1";"MPIPSYKL_001389.1";"MPIPSYKL_003155.1";"MPIPSYKL_001886.1";"MPIPSYKL_003787.1";"MPIPSYKL_004246.1";"MPIPSYKL_002852.1";"MPIPSYKL_002613.1";"MPIPSYKL_003911.1";"MPIPSYKL_002604.1";"MPIPSYKL_002533.1";"MPIPSYKL_001547.1";"MPIPSYKL_004100.1";"MPIPSYKL_001386.1";"MPIPSYKL_003162.1";"MPIPSYKL_002658.1";"MPIPSYKL_004198";"MPIPSYKL_003785.1";"MPIPSYKL_002088.1"
"MT";15244;15644;401;"*";11,48;10,88;11,89;-1,02;1,75e-09;9,35e-09;2421,97;1925,98;1445,73;1541,84;4651,47;328,7;1374,05;1038,84;1308,7;186,12;4140,29;1829,41;1892,77;324,7;4071,01;1750,78;4257,68;2465,12;2665,82;2995,92;620,27;2104,64;3536,18;1506;2785,31;1246,58;911,76;1794,89;1037,61;776,63;1858,39;1643,7;1897,26;1565,56;1280,87;4534,14;2822,43;1879,95;4536,53;498,41;293,2;820,5;348,42;1048,53;2518,58;1833,84;423,12;2991,2;4256,22;898,97;4581,18;3049,4;4045,8;2923,22;3657,51;2104,65;4658,36;4119,1;5681,24;5917,05;1822,21;2827,19;2851,81;4479,01;3124,46;4796,97;5541,8;5614,19;1976,81;4540,96;5146,01;5963,06;3089,76;5920,3;5998,56;1556,19;1020,79;3051,92;3355,03;3107,59;4716,97;2293,09;3696,89;1471,05;2426,76;3598,21;6368,43;5412,72;4816,89;4791,16;5215,04;4256,65;4439,07;2051,83;1789,11
"MT";2612;3012;401;"*";11,4;10,8;11,81;-1,01;2,86e-09;1,51e-08;2299,1;1747,28;1348,77;1462,65;4592,96;298,18;1353,4;933,57;1212,19;173,14;4035,29;1839,05;1809,94;321,06;3723,29;1616,88;3943,25;2411,14;2420,43;2725,16;623,83;1920,41;3426,63;1404,89;2654,75;1099,2;868,95;1659,79;968,95;776,63;1660,27;1547,55;1773,75;1395,92;1156,73;4714,96;2872,75;1713,53;4129,65;483,93;293,42;703,12;320,06;1025,25;2394,68;1734,28;394,15;2781,66;4230,66;830,94;4782,07;2646,09;3592,25;2754,96;3158,1;2073;4182,27;3817,22;5274,82;5672,47;1719,89;2739,23;2574,45;4072,48;2823,08;4808,6;4938,2;5643,56;1848,66;4458,27;4841,44;5636,04;2773,49;5882,2;5550,57;1566,23;987,43;3051,92;2867,76;2844,41;4357,32;2168,1;3491,07;1458,3;2030,14;3508;5989,61;5016,67;4472,69;4592,41;5135,29;4221,85;4380,92;1993,24;1640,72
"KI270729.1";10861;11261;401;"*";3,96;3,16;4,47;-1,35;7,58e-09;3,89e-08;9,37;6,62;12,12;3,82;0;1,75;7,94;3,69;3,18;1,13;28,38;9,64;33,74;5,24;4,76;5,76;8,95;26,99;16,73;11,69;1,43;5,9;30,43;18,11;16,92;6,89;4,28;5,68;4,71;2,42;8,19;10,54;3,06;18,39;8,91;10,24;16,78;6,66;3,8;3,71;1,33;10,16;2,63;3,21;4,51;7,56;1,42;31,43;28,76;3,53;31,51;24,59;9,86;14,26;31,75;16,76;21,97;15,68;15,05;30,04;6,51;32,67;19,91;32,09;11,44;34,87;19,9;19,58;12,38;19,46;39,55;20,02;16,22;3,46;26,58;10,05;12,01;17,64;18,62;7,78;27,67;7,65;75,2;5,74;26,89;25,06;18,63;14,14;22,95;24,84;10,4;34,8;90,46;2,93;20,34
"KI270465.1";799;1199;401;"*";6,09;5,35;6,57;-1,23;1,01e-08;5,15e-08;41,65;27,94;60,6;30,53;131,65;6,18;15,88;17,54;43,48;6,66;62,43;14,46;113,5;18,15;46,04;14,4;22,38;58,48;19,52;79,87;19,26;26,53;176,5;73,94;65,28;12,4;17,84;47,68;10,43;27,45;49,12;39,51;15,29;40,88;32,47;119,41;92,26;21,3;17,11;7,43;10,39;38,37;13,92;12,85;67,58;23,95;5,67;91,67;38,34;11,09;39,39;132,8;55,87;122,63;80,83;38,16;120,85;91,48;49,46;68,65;66,97;92,98;25,6;117,68;68,67;104,62;182,41;200,68;37,86;48,64;280,84;36,71;145,97;83,14;68,34;52,75;62,72;123,49;74,49;19,45;175,21;45,91;126,66;29,32;208,39;125,29;77,63;188,6;97,52;56,78;97,09;197,17;245,54;12,89;46,67
"KI270729.1";2308;2708;401;"*";8,51;7,87;8,94;-1,06;1,19e-08;6,01e-08;206,17;138,25;488,26;129,76;648,48;20,62;203,33;211,46;180,29;29,01;366,07;309,99;549,12;96,8;269,92;178,53;249,53;341,88;476,84;235,7;43,51;185,7;663,41;291,24;401,36;139,12;118,43;199,81;41,06;101,72;232,5;219,95;96,61;230,95;140,69;487,87;494,87;258,29;222,45;81,34;32,72;244,91;57,24;86,71;265,83;318,87;29,13;421,7;450,55;136,05;449,06;1037,78;147,9;687,31;438,79;206,65;860,62;371,14;393,51;476,28;331,14;452,35;344,21;488,55;530,28;616,09;454,35;509,05;179,84;515,63;577,49;323,68;377,1;547,34;539,11;233,62;384,3;463,71;536,93;186,69;760,8;377,51;752,04;185,47;584,84;1082,47;617,9;499,78;386,27;663,66;592,93;1223,64;704,31;101,95;329,1
"GL000224.1";2122;2522;401;"*";7,45;6,76;7,91;-1,13;1,43e-08;7,16e-08;92,67;69,86;204,31;55,34;185,28;12,35;98,49;28,63;99,69;10,95;204,32;155,8;230,08;48,81;106,38;51,83;67,14;218,17;270,49;105,19;21,04;134,12;231,28;119,21;152,32;93,67;49,94;99,91;26,59;71,85;158,82;81,66;61,14;126,72;64,3;262,7;301,95;73,23;157,81;34,17;25,43;102,7;15,23;41,75;214,01;42,85;13,23;172,87;204,5;48,38;165,44;486,92;52,59;245,27;225,17;130,32;183,11;168,58;144,07;231,7;90,23;432,25;224,73;235,36;167,86;282,86;228,84;587,36;85,92;189,71;284,79;246,93;373,04;232,1;227,79;143,18;69,39;272,18;254,5;119,27;290,49;306,09;411,65;93,06;685,68;481,1;170,78;259,32;202,7;255,53;180,31;521,93;374,77;33,98;100,53
"GL000225.1";25546;25946;401;"*";5,91;5,23;6,35;-1,12;1,48e-08;7,36e-08;46,86;22,8;90,03;32,44;92,64;4,66;33,36;16,62;37,12;4,29;65,27;43,37;82,83;10,49;55,57;24,48;34,69;101,21;75,29;77,92;4,64;42,74;24,35;61,87;60,45;23,42;14,98;28,38;9,09;21,8;36,02;52,68;9,78;49,05;26,1;68,23;83,88;19,97;41,83;11,51;7,74;36,12;5,25;15,25;40,55;17,65;4,72;68,1;89,47;19,65;31,51;127,88;59,16;57,04;75,06;44,68;54,93;47,05;45,16;34,33;53,02;158,32;79,65;85,59;91,56;127,87;92,86;117,47;53,15;55,94;114,71;73,41;129,75;83,14;98,71;81,64;66,72;85,69;83,8;32,41;110,66;135,19;142,49;29,32;87,39;175,4;68,31;84,87;103,26;53,24;52,01;139,18;161,54;18,16;43,08
"KI270538.1";88611;89011;401;"*";7,41;6,69;7,88;-1,17;4,97e-08;2,37e-07;63,52;98,54;114,27;48,66;536,33;12;47,65;30,47;152,72;26,98;170,27;150,98;285,3;23,8;107,97;54,71;98,47;202,43;122,69;77,92;17,83;53,06;267,8;75,45;77,37;56,48;33,53;113,53;30,63;91,23;111,34;106,68;45,25;155,33;49,66;191,05;297,76;93,2;64,64;30,83;21,01;50,79;18,38;28,9;277,09;70,58;10,55;149,3;204,5;30,23;129,99;172,14;78,88;319,42;207,85;83,78;157,48;133,3;232,24;356,14;103,25;490,05;106,68;203,27;194,56;216,99;494,15;435,63;66,26;189,71;253,15;133,48;628,49;374,13;231,59;165,79;92,07;504,03;167,6;81,68;235,16;155,59;269,15;70,75;571,4;205,47;263,93;216,89;200,78;216,49;239,25;376,95;756;58,59;100,53
"KI270728.1";1791655;1792055;401;"*";4,43;3,69;4,91;-1,25;5,09e-08;2,43e-07;13,54;8,09;8,66;8,59;58,51;0,82;17,47;1,85;6,36;1,02;36,89;9,64;39,88;4,44;17,47;12,96;10,07;29,24;19,52;17,53;1,78;19,16;24,35;15,09;14,51;5,51;9,99;19,3;3,7;8,88;6,55;21,07;3,06;14,31;7,64;17,06;16,78;11,98;9,51;2,23;1,55;12,41;3,94;5,62;15,77;10,08;2,83;47,15;44,74;4,54;59,09;44,27;16,43;22,82;25,98;18,62;25,64;27,44;27,95;30,04;12,09;20,1;18,49;49,93;19,07;50,37;9,95;0;14,56;17,03;27,69;23,36;28,38;24,25;30,37;13,82;12,01;20,16;43,45;20,74;59,94;25,51;55,41;10,2;26,89;85,19;37,26;61,29;5,74;21,29;24,27;81,19;71,08;8,2;15,56
"KI270337.1";242;642;401;"*";5,22;4,55;5,66;-1,16;6,16e-08;2,91e-07;17,7;12,5;62,33;7,63;117,02;2,21;31,77;6,46;12,73;3,61;48,24;12,85;24,54;8,87;52,4;17,28;21,26;44,98;44,62;46,75;9,63;33,9;66,95;34,71;16,92;31,68;6,42;11,35;9,09;12,92;42,57;21,07;11,62;20,44;12,73;23,88;29,36;13,31;24,72;4,83;4,2;15,8;4,46;8,03;4,51;21,43;7,09;49,77;41,54;4,03;27,57;73,78;69,02;102,67;69,28;33,51;29,3;49,66;25,8;107,27;16,74;35,18;28,45;42,79;57,22;73,62;26,53;34,26;22,57;24,32;55,38;30,03;24,33;97;30,37;21,35;26,69;55,44;77,59;25,93;138,33;61,22;79,16;50,99;47,06;120,27;12,42;61,29;38,24;56,78;52,01;127,58;51,69;15,82;32,31
